,Price,Adress,Total Finished Area:,Bedrooms:,Bathrooms:,Architectural Style:,Association Fee Includes:,Built in:,Condo Fees:,Construction Materials:,Cooling:,Exterior Features:,Fireplace Features:,Floor Space (approx):,Flooring:,Foundation Details:,Heating:,Interior Features:,Levels:,Parking Features:,Roof:,Zoning:,Lot Size:,Utilities:,Water Source:,Sewer:,Air Conditioning:,Pool:,Irregular:,Waterfront Features:,Garage:,Style:,Building Type:,Amenities:,Exterior Finish:,Fireplace:,Heating Type:,Cooling Type:,OwnershipType:,Property Type:,Features:,No. of Parking Spaces:
22,"$598,000","1012 18 Street NE, Calgary, AB, T2E 4V7",997.00,2+2,2+0,Bungalow,,1958,,"Cedar, Composite Siding, Stucco",None,"Garden, Playground, Private Yard, Storage, Tennis Court(s)",,997.00 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas","Closet Organizers, Kitchen Island, No Animal Home, No Smoking Home, Separate Entrance",One,Double Garage Detached,Asphalt Shingle,R-C2,5995.00 Square Feet,,,,,,,,,,,,,,,,,,,
23,"$345,500","1016-7038 16 Avenue SE, Calgary, AB, T2A 7Z5",1230.00,3+0,1+1,4 Level Split,"Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions",2002,$335 Monthly,"Brick, Vinyl Siding, Wood Frame",None,Playground,,1230.00 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), High Ceilings, Kitchen Island, Vaulted Ceiling(s), Walk-In Closet(s)",4 Level Split,"Oversized, Single Garage Attached",Asphalt Shingle,M-CG d44,1948.00 Square Feet,,,,,,,,,,,,,,,,,,,
24,"$430,000","102-300 Evanscreek Court NW, Calgary, AB, T3P 0B8",1313.94,2+1,2+1,2 Storey,"Amenities of HOA/Condo, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Residential Manager, Snow Removal, Trash",2007,$331 Monthly,"Vinyl Siding, Wood Frame",None,"Courtyard, Playground",,1313.94 Square Feet,"Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Walk-In Closet(s)",Two,Double Garage Attached,Asphalt Shingle,M-1 d100,1173.00 Square Feet,,,,,,,,,,,,,,,,,,,
25,"$359,900","102-39 Hidden Creek Place NW, Calgary, AB, T3A 6B9",1134.00,2+0,2+0,Townhouse,"Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash",1998,$441 Monthly,"Vinyl Siding, Wood Frame",None,None,Gas,1134.00 Square Feet,"Carpet, Linoleum",Poured Concrete,"In Floor, Natural Gas","Breakfast Bar, Ceiling Fan(s), Central Vacuum, High Ceilings, Open Floorplan, Pantry, Storage, Walk-In Closet(s)",One,"Insulated, Single Garage Attached",Rubber,M-C1 d49,,,,,,,,,,,,,,,,,,,,
26,"$279,000","102-9 COUNTRY VILLAGE Bay NE, Calgary, AB, T3K 5J8",1039.00,2+0,2+0,Apartment,"Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2000,$591 Monthly,"Vinyl Siding, Wood Frame",None,Other,Gas,1039.00 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Hot Water, Natural Gas","No Animal Home, No Smoking Home",Single Level Unit,"Assigned, Stall",Asphalt Shingle,DC (pre 1P2007),66198.00 Square Feet,,,,,,,,,,,,,,,,,,,
27,"$329,900","102 Prestwick Gardens SE, Calgary, AB, T2Z 3V4",1132.37,2+0,2+0,Bungalow,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",2000,$362 Monthly,"Vinyl Siding, Wood Frame",None,Lighting,"Gas, Mantle, Tile",1132.37 Square Feet,,Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Central Vacuum, Kitchen Island, Track Lighting",One,"Oversized, Single Garage Attached",Asphalt Shingle,M-2,,,,,,,,,,,,,,,,,,,,
28,"$749,900","103-88 9 Street NE, Calgary, AB, T2E 4E1",1227.00,2+0,2+0,Apartment,"Common Area Maintenance, Gas, Heat, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash, Water",2019,$825 Monthly,"Brick, Concrete",Central Air,"Built-in Barbecue, Courtyard",,1227.00 Square Feet,"Carpet, Ceramic Tile, Wood",Poured Concrete,"Fan Coil, Forced Air, Natural Gas","Built-in Features, Chandelier, Closet Organizers, Granite Counters, High Ceilings, Low Flow Plumbing Fixtures, Open Floorplan, Pantry, Recreation Facilities, Smart Home, Stone Counters, Storage, Walk-In Closet(s), Wired for Sound",Single Level Unit,"Heated Garage, Titled, Underground",Membrane,DC,,,,,Yes,,,,,,,,,,,,,,,
29,"$639,900","103 Cranfield Circle SE, Calgary, AB, T3M 1Y1",1479.00,2+2,3+0,Bungalow,,2004,,"Stone, Vinyl Siding",Central Air,Playground,"Basement, Gas, Great Room, Mantle",1479.00 Square Feet,"Carpet, Ceramic Tile, Hardwood, See Remarks",Poured Concrete,"Central, Natural Gas","Ceiling Fan(s), Central Vacuum, Granite Counters, High Ceilings, Jetted Tub, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Separate Entrance, Vaulted Ceiling(s), Walk-In Closet(s)",One and One Half,"Double Garage Attached, Heated Garage, Insulated, See Remarks",Asphalt Shingle,R-1N,4467.00 Square Feet,"Cable Connected, Electricity Connected, Natural Gas Connected, Phone Available, Underground Utilities, Water Connected",,,Yes,,,,,,,,,,,,,,,
30,"$550,000","103 Woodpark Place SW, Calgary, AB, T2W 2Y2",1543.00,3+3,4+0,Bungalow,,1977,,"Vinyl Siding, Wood Frame",None,None,"Gas, Living Room",1543.00 Square Feet,"Carpet, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Kitchen Island, Separate Entrance, Storage, Sump Pump(s)",One,"220 Volt Wiring, Double Garage Detached, Driveway, Heated Garage, Oversized, Workshop in Garage",Asphalt,R-C1,6522.00 Square Feet,,,,,,,,,,,,,,,,,,,
31,"$538,900","1035 Thorneycroft Drive NW, Calgary, AB, T2K 3K7",1625.32,3+1,3+0,2 and Half Storey,,1957,,"Wood Frame, Wood Siding",None,Private Entrance,,1625.32 Square Feet,"Carpet, Hardwood, Laminate, Linoleum",Poured Concrete,Forced Air,Separate Entrance,One and One Half,Parking Pad,Asphalt Shingle,R-C1,557.00 Square Feet,,,,,,,,,,,,,,,,,,,
32,"$440,000","1039 Hunterston Hill NW, Calgary, AB, T2K 4N9",1031.00,2+2,2+0,Bi-Level,,1969,,Metal Siding,None,Other,Wood Burning,1031.00 Square Feet,"Laminate, Tile",Poured Concrete,"Central, Forced Air, Natural Gas",See Remarks,One,Double Garage Detached,Asphalt Shingle,R-C1,5586.00 Square Feet,,,,,,,,,,,,,,,,,,,
33,"$325,000","104-1441 23 Avenue SW, Calgary, AB, T2T 0T6",1151.17,2+0,2+0,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Sewer, Snow Removal, Water",1997,$738 Monthly,"Vinyl Siding, Wood Frame",None,None,Gas,1151.17 Square Feet,"Ceramic Tile, Vinyl",,"Baseboard, Natural Gas","High Ceilings, No Smoking Home",Single Level Unit,"Stall, Underground",Concrete,M-CG d111,,,,,,,,,,,,,,,,,,,,
34,"$209,500","104-1836 12 Avenue SW, Calgary, AB, T3C 0R6",467.60,1+0,1+0,Apartment,"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions",1978,$345 Monthly,"Stucco, Wood Frame",None,None,,467.60 Square Feet,"Hardwood, Tile",Poured Concrete,Baseboard,"Laminate Counters, No Smoking Home",Single Level Unit,Stall,,M-C2,,,,,,,,,,,,,,,,,,,,
35,"$334,900","104-4150 Seton Drive SE, Calgary, AB, T3M 3C7",966.30,2+0,2+0,Apartment,"Amenities of HOA/Condo, Common Area Maintenance, Gas, Heat, Insurance, Interior Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2020,$378 Monthly,"Brick, Composite Siding, Metal Siding, Wood Frame",None,"Playground, Private Entrance, Storage",,966.30 Square Feet,"Carpet, Laminate",Poured Concrete,"Baseboard, Natural Gas","Breakfast Bar, High Ceilings, Open Floorplan, Walk-In Closet(s)",Single Level Unit,"Heated Garage, Titled, Underground",Rubber,DC,,,,,,,,,,,,,,,,,,,,
36,"$539,900","104 Auburn Bay View SE, Calgary, AB, T3M 0C7",1496.00,3+0,2+1,2 Storey,,2007,,Vinyl Siding,None,Other,,1496.00 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Bookcases, High Ceilings, Laminate Counters, Open Floorplan",Two,Parking Pad,Asphalt Shingle,R-1N,3056.00 Square Feet,,,,,,,,,,,,,,,,,,,
37,"$417,000","104 Chapalina Square SE, Calgary, AB, T2X 0B1",1339.99,3+0,2+1,2 Storey,"Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal",2008,$394 Monthly,"Vinyl Siding, Wood Frame",None,Other,Gas,1339.99 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, No Animal Home, No Smoking Home",Two,Double Garage Attached,Asphalt Shingle,M-G d44,796.00 Square Feet,,,,,,,,,,,,,,,,,,,
38,"$523,900","104 Fielding Drive SE, Calgary, AB, T2H 1H1",868.00,2+1,2+0,Bungalow,,1959,,"Metal Siding, See Remarks, Stucco, Wood Frame",None,Private Yard,"Family Room, Gas, Living Room, Wood Burning",868.00 Square Feet,"Ceramic Tile, Hardwood, Laminate",Poured Concrete,"Forced Air, Natural Gas","Kitchen Island, Open Floorplan, See Remarks",One,Single Garage Detached,Asphalt Shingle,R-C1,5683.00 Square Feet,,,,,,,,,,,,,,,,,,,
39,"$227,000","105-1111 13 Avenue SW, Calgary, AB, T3R 0L7",849.00,2+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",1981,$542 Monthly,Wood Frame,None,Storage,Wood Burning,849.00 Square Feet,"Carpet, Ceramic Tile, Cork",Poured Concrete,"Baseboard, Natural Gas","Ceiling Fan(s), Pantry",Single Level Unit,"Heated Garage, Secured, Underground",,CC-MH,,,,,,,,,,,,,,,,,,,,
40,"$228,000","105-1917 24A Street SW, Calgary, AB, T3E 1V4",866.50,2+0,1+0,Apartment,"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",1981,$592 Monthly,"Brick, Wood Frame",None,Barbecue,,866.50 Square Feet,"Laminate, Tile",,Baseboard,"Bar, Ceiling Fan(s), Granite Counters, No Animal Home, No Smoking Home, Open Floorplan",Single Level Unit,Underground,,MU-1 f4.5h23,,,,,,,,,,,,,,,,,,,,
41,"$359,900","105 Applewood Place SE, Calgary, AB, T2A 7M8",1094.09,3+0,2+1,"2 Storey, Side by Side",,1990,,"Stucco, Wood Frame",None,None,,1094.09 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,Forced Air,"Ceiling Fan(s), Central Vacuum",Two,"RV Access/Parking, Single Garage Attached",Asphalt Shingle,R-C2,2712.00 Square Feet,,,,,,,,,,,,,,,,,,,
42,"$644,000","106-1117 1 Street SW, Calgary, AB, T2R 0T9",1319.00,,2+0,Loft/Bachelor/Studio,"Common Area Maintenance, Heat, Insurance, Interior Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Residential Manager, Sewer, Trash, Water",1911,"$1,058 Monthly","Brick, Mixed, Stone",None,"Lighting, Private Entrance",Gas,1319.00 Square Feet,"Hardwood, Tile",,Boiler,"Beamed Ceilings, Bookcases, Built-in Features, Ceiling Fan(s), Chandelier, Elevator, French Door, High Ceilings, Kitchen Island, Natural Woodwork, No Smoking Home, Open Floorplan, Stone Counters, Storage",Multi Level Unit,"Assigned, Garage Door Opener, Heated Garage, Parkade, Secured, Stall, Underground",,CC-X,,,,,,,,,,,,,,,,,,,,
43,"$319,900","106-16 Auburn Bay Link SE, Calgary, AB, T3M 1Z6",957.00,2+0,2+0,Low-Rise(1-4),"Heat, Interior Maintenance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2012,$537 Monthly,Wood Frame,None,None,Electric,957.00 Square Feet,Laminate,Poured Concrete,"Baseboard, Natural Gas",Granite Counters,Single Level Unit,Underground,Asphalt Shingle,M-2,,,,,,,,,,,,,,,,,,,,
44,"$278,000","106-2010 35 Avenue SW, Calgary, AB, T2T 2E1",862.80,2+0,1+0,Apartment,"Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Residential Manager, Sewer, Snow Removal, Water",1982,$607 Monthly,Wood Frame,None,None,,862.80 Square Feet,"Ceramic Tile, Laminate",Poured Concrete,Baseboard,"Ceiling Fan(s), Open Floorplan",Single Level Unit,"Titled, Underground",Asphalt Shingle,M-C1,,,,,,,,,,,,,,,,,,,,
45,"$649,000","106 Chelsea Street NW, Calgary, AB, T2K 1N9",1040.00,3+2,2+0,Bungalow,,1958,,"Stucco, Wood Frame, Wood Siding",None,Other,"Gas, Living Room, Mantle",1040.00 Square Feet,"Ceramic Tile, Hardwood, Laminate, Other",Poured Concrete,"High Efficiency, Forced Air, Natural Gas","Granite Counters, Wired for Sound",One,"Off Street, On Street, Parkade, Parking Pad",Asphalt Shingle,R-C1,5500.00 Square Feet,,,,,,,,,,,,,,,,,,,
46,"$545,000","1060-1001 13 Avenue SW, Calgary, AB, T2R 0L5",1624.00,2+0,2+0,Apartment,"Common Area Maintenance, Heat, Insurance, Interior Maintenance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash",1981,$814 Monthly,"Brick, Concrete",Central Air,None,"Living Room, Wood Burning",1624.00 Square Feet,"Carpet, Hardwood, Tile",,Baseboard,"Elevator, Pantry, Recreation Facilities, Walk-In Closet(s)",Single Level Unit,"Parkade, Titled, Underground",Tar/Gravel,CC-MH,,,,,Yes,,,,,,,,,,,,,,,
47,"$445,000","107-111 Panatella Square, Calgary, AB, T3K 2R9",1323.36,2+0,2+2,3 Storey,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions",2022,$223 Monthly,"Vinyl Siding, Wood Frame",None,Other,,1323.36 Square Feet,"Ceramic Tile, See Remarks",Poured Concrete,Forced Air,"Granite Counters, Kitchen Island",3 Level Split,Single Garage Attached,Asphalt Shingle,M-185,,,,,,,,,,,,,,,,,,,,
